Semester,Year,Section,Site,PD_Colony,Flag,Bareground,Grass,Yucca,Cactus,Other_Veg,Total_Veg
Fall,2017,TuesPM,North,Off,6,16,30,0,0,29,59
Fall,2017,WedPM,South,Off,6,6,48,1,0,5,54
Fall,2017,ThursAM,South,On,4,2,23,0,0,28,51
Fall,2017,TuesPM,North,On,8,17,25,0,0,24,49
Fall,2017,TuesPM,North,Off,1,13,28,0,0,13,41
Fall,2017,WedPM,South,Off,7,6,21,1,0,18,40
Fall,2017,ThursAM,South,Off,6,3,19,2,0,16,37
Fall,2017,ThursPM,North,Off,7,3,13,5,0,19,37
Fall,2017,WedAM,South,Off,2,1,18,2,0,16,36
Fall,2017,MonPM,South,Off,7,1,19,5,1,11,36
Fall,2017,ThursAM,South,On,1,6,25,1,0,10,36
Fall,2017,WedAM,South,Off,1,0,8,0,0,27,35
Fall,2017,MonPM,South,Off,3,3,19,6,1,9,35
Fall,2017,TuesPM,North,On,10,15,19,0,0,15,34
Fall,2017,WedAM,South,On,6,0,0,2,0,32,34
Fall,2017,WedPM,South,On,5,3,8,4,0,22,34
Fall,2017,WedAM,South,Off,6,0,19,0,1,13,33
Fall,2017,MonAM,North,Off,6,10,24,1,0,8,33
Fall,2017,TuesAM,South,Off,5,3,19,4,2,8,33
Fall,2017,TuesPM,North,Off,9,6,15,2,0,14,31
Fall,2017,TuesAM,South,Off,7,5,12,2,2,15,31
Fall,2017,WedAM,South,On,4,0,14,3,1,13,31
Fall,2017,MonAM,South,Off,5,0,20,0,0,10,30
Fall,2017,TuesAM,South,Off,2,4,12,3,1,14,30
Fall,2017,ThursPM,North,Off,3,0,12,5,0,13,30
Fall,2017,WedPM,South,On,6,5,18,0,0,12,30
Fall,2017,TuesPM,South,On,7,1,17,1,0,12,30
Fall,2017,ThursPM,North,Off,4,2,13,4,0,12,29
Fall,2017,TuesAM,North,On,10,12,15,0,0,14,29
Fall,2017,ThursPM,North,On,6,0,5,1,0,23,29
Fall,2017,WedAM,South,Off,7,0,16,2,1,9,28
Fall,2017,ThursAM,South,Off,4,0,20,2,0,5,27
Fall,2017,ThursPM,South,On,10,0,2,0,0,25,27
Fall,2017,ThursAM,South,On,9,6,1,0,0,26,27
Fall,2017,WedAM,North,On,9,7,12,0,0,15,27
Fall,2017,WedAM,South,On,4,3,12,0,0,15,27
Fall,2017,ThursPM,North,On,4,0,5,0,0,22,27
Fall,2017,TuesAM,South,Off,2,0,14,0,0,12,26
Fall,2017,TuesPM,South,Off,4,0,20,0,0,6,26
Fall,2017,ThursPM,South,Off,10,0,8,1,0,17,26
Fall,2017,MonAM,South,Off,7,1,18,2,0,6,26
Fall,2017,ThursPM,North,Off,6,2,6,5,0,15,26
Fall,2017,TuesPM,North,On,8,9,14,0,0,11,25
Fall,2017,TuesAM,South,On,9,0,5,1,0,19,25
Fall,2017,MonPM,South,On,9,0,5,1,0,19,25
Fall,2017,MonAM,South,Off,3,2,17,0,0,7,24
Fall,2017,MonAM,South,Off,6,0,14,0,0,10,24
Fall,2017,WedPM,South,Off,4,9,14,1,0,9,24
Fall,2017,TuesPM,North,On,9,18,12,0,0,12,24
Fall,2017,WedAM,North,Off,2,6,13,1,0,9,23
Fall,2017,MonAM,South,Off,8,1,11,1,0,11,23
Fall,2017,WedPM,South,Off,4,9,15,2,2,4,23
Fall,2017,TuesPM,North,Off,8,8,2,3,0,18,23
Fall,2017,ThursAM,South,On,6,6,5,0,0,18,23
Fall,2017,TuesAM,South,Off,6,0,10,1,0,11,22
Fall,2017,TuesAM,North,Off,9,0,5,4,1,12,22
Fall,2017,ThursPM,North,On,1,6,11,0,0,11,22
Fall,2017,ThursPM,North,On,4,0,6,0,0,16,22
Fall,2017,MonAM,South,On,6,0,9,0,0,13,22
Fall,2017,ThursPM,North,On,3,0,6,1,0,15,22
Fall,2017,ThursPM,North,Off,4,0,5,4,0,12,21
Fall,2017,MonAM,North,On,5,6,5,0,0,16,21
Fall,2017,TuesAM,North,On,3,0,4,1,0,16,21
Fall,2017,MonAM,North,On,3,8,7,1,0,13,21
Fall,2017,MonAM,South,Off,9,0,8,0,0,12,20
Fall,2017,TuesAM,North,Off,8,0,5,1,0,14,20
Fall,2017,TuesAM,South,Off,8,5,11,1,0,8,20
Fall,2017,MonPM,South,Off,8,0,6,1,0,13,20
Fall,2017,TuesPM,South,Off,5,0,13,1,0,6,20
Fall,2017,WedPM,South,Off,2,10,14,2,1,3,20
Fall,2017,MonPM,South,On,3,9,7,0,0,13,20
Fall,2017,MonPM,South,On,10,0,3,0,0,17,20
Fall,2017,TuesAM,North,On,3,0,2,1,0,17,20
Fall,2017,WedAM,South,On,5,1,4,1,0,15,20
Fall,2017,MonPM,South,On,1,0,3,1,0,16,20
Fall,2017,WedAM,North,Off,7,7,5,0,0,14,19
Fall,2017,MonPM,South,Off,4,1,14,0,0,5,19
Fall,2017,TuesPM,South,Off,1,3,10,2,0,7,19
Fall,2017,TuesPM,North,On,3,14,8,0,0,11,19
Fall,2017,WedPM,South,On,2,12,7,0,0,12,19
Fall,2017,TuesAM,South,On,1,6,9,0,0,10,19
Fall,2017,MonAM,South,On,4,4,3,1,0,15,19
Fall,2017,ThursAM,South,Off,2,2,16,0,0,2,18
Fall,2017,ThursPM,North,Off,7,9,12,0,0,6,18
Fall,2017,WedAM,South,Off,8,8,8,1,0,9,18
Fall,2017,ThursPM,North,Off,4,6,6,2,0,10,18
Fall,2017,MonAM,North,On,8,11,7,0,0,11,18
Fall,2017,TuesPM,South,On,6,5,7,0,0,11,18
Fall,2017,ThursAM,South,Off,4,4,14,0,0,3,17
Fall,2017,WedPM,South,Off,2,3,13,0,0,4,17
Fall,2017,WedAM,South,Off,5,6,12,1,0,4,17
Fall,2017,TuesPM,South,Off,2,6,9,2,0,6,17
Fall,2017,TuesPM,North,On,6,12,6,0,0,11,17
Fall,2017,TuesAM,South,On,1,5,6,0,0,11,17
Fall,2017,TuesAM,South,On,1,6,6,0,0,11,17
Fall,2017,ThursPM,North,On,2,7,7,0,0,10,17
Fall,2017,WedPM,North,On,3,7,6,0,0,10,16
Fall,2017,ThursAM,South,On,2,4,3,0,0,13,16
Fall,2017,ThursAM,South,On,10,7,5,0,0,11,16
Fall,2017,MonAM,North,On,6,9,7,0,0,9,16
Fall,2017,WedAM,North,On,6,8,4,0,0,12,16
Fall,2017,WedAM,North,On,7,9,8,0,0,8,16
Fall,2017,TuesPM,South,On,2,4,7,0,0,9,16
Fall,2017,MonAM,South,On,8,6,16,0,0,0,16
Fall,2017,MonAM,South,On,10,5,1,0,0,15,16
Fall,2017,WedPM,South,Off,5,8,10,0,0,5,15
Fall,2017,WedPM,North,Off,3,6,5,2,0,8,15
Fall,2017,MonPM,South,On,7,5,0,0,0,15,15
Fall,2017,TuesPM,South,On,10,5,2,0,0,13,15
Fall,2017,TuesAM,South,On,8,6,2,1,0,12,15
